コンテキスト	状態モデル	状態	遷移UC	遷移先状態	説明
メッセージ配送管理	メッセージ配送状態	""	ファイルを収集する(Collect)	収集済	Collect がリモート(FTP/SFTP/SCP)またはローカルの収集ソースから安定したファイルを取り込み、収集時刻+Topic+元ファイル名から message_id を採番してメッセージとして発生させる。同名ファイルの再出力も別 message_id の新メッセージとして扱い、Manifest による Subscription 単位の配送管理を開始する
メッセージ配送管理	メッセージ配送状態	収集済	Archiveに保存する	Archive保存済	全ファイルArchive保存の原則に従い、配信前に必ず Topic 別に Archive へ保存する。再送(Replay)・監査・障害復旧・差分比較の基盤となる
メッセージ配送管理	メッセージ配送状態	Archive保存済	Subscriptionへ複製配信する(Fan-out)	配信中	Fan-out が Topic 配下の各 Subscription ディレクトリへ一時名から rename する Atomic Write で複製配置を開始する。配送は Subscription ごとに独立して管理する
メッセージ配送管理	メッセージ配送状態	配信中	Subscriptionへ複製配信する(Fan-out)	配信済(delivered)	Subscription ディレクトリへの配置が成功し Manifest に delivered を記録する。Consumer は従来手段で取得でき、再起動・再実行時はこの記録により二重配信を防ぐ(冪等)
メッセージ配送管理	メッセージ配送状態	配信中	Subscriptionへ複製配信する(Fan-out)	配信失敗(failed)	Subscription ディレクトリへの配置が失敗し Manifest に failed を記録する。どのメッセージのどの Subscription 配信が失敗したかを構造化ログでも特定できるようにする
メッセージ配送管理	メッセージ配送状態	配信失敗(failed)	配信失敗をリトライしDLQへ隔離する	リトライ中	失敗の自動回復ポリシーに従い、一時的な配信失敗をリトライで自動回復させるためリトライ処理に入る
メッセージ配送管理	メッセージ配送状態	リトライ中	配信失敗をリトライしDLQへ隔離する	配信中	リトライ規定回数以内であれば該当 Subscription への配信を再試行する
メッセージ配送管理	メッセージ配送状態	リトライ中	配信失敗をリトライしDLQへ隔離する	DLQ隔離(dlq)	リトライ規定回数を超えた恒久的な失敗は DLQ へ隔離して滞留させず、Manifest に dlq を記録して運用者の判断に委ねる
メッセージ配送管理	メッセージ配送状態	DLQ隔離(dlq)	再送(Replay)を実行する	配信中	運用者が status コマンド等で状況を確認し、Archive を起点とした再送(Replay)を判断・実行することで再び配信する。再送の配送履歴も Manifest に記録する
メッセージ配送管理	メッセージ配送状態	配信済(delivered)	再送(Replay)を実行する	配信中	「先月分を再投入したい」等の遡及処理として、Topic・期間(またはメッセージ指定)・宛先 Subscription を指定した再送(Replay)で配信済メッセージを再び配信する。再送も Manifest に記録する
メッセージ配送管理	メッセージ配送状態	配信済(delivered)	""	""	全宛先への配送が完了し再送の必要もない場合、配送管理上の終了状態となる(履歴は Manifest に残り監査・追跡に使う)
メッセージ配送管理	メッセージ配送状態	DLQ隔離(dlq)	""	""	DLQ 隔離されたメッセージについて運用者が調査の結果、再送不要と判断した場合の終了状態となる
基盤運用管理	デーモン稼働状態	""	デーモンを起動する	起動中	常駐デーモンの起動指示により起動処理を開始する。Lock の取得と異常終了後の stale lock からの安全な回復判定を行う
基盤運用管理	デーモン稼働状態	起動中	デーモンを起動する	稼働中	Lock 取得に成功し、ポーリング間隔で収集(Collect)・Archive 保存・配信(Fan-out)・retention 削除のサイクルを自動実行する稼働状態へ遷移する
基盤運用管理	デーモン稼働状態	起動中	デーモンを起動する	停止済	他インスタンスが Lock を保持している場合は二重起動防止のため起動を中断して停止する(単一インスタンス安全運用)
基盤運用管理	デーモン稼働状態	稼働中	デーモンをgraceful shutdownで停止する	停止処理中	停止シグナルを受け graceful shutdown に入る。新規処理を止め、処理中のメッセージの完了を待つ
基盤運用管理	デーモン稼働状態	停止処理中	デーモンをgraceful shutdownで停止する	停止済	処理中メッセージを完了させてから停止し、中途半端な状態を残さない。Lock を解放して終了する
基盤運用管理	デーモン稼働状態	停止済	""	""	デーモンが完全に停止した終了状態。再開時は冪等処理により二重配信なく再起動できる
Archive管理	Archiveファイル保持状態	""	Archiveに保存する	保持中	収集したファイルを配信前に Topic 別に Archive へ保存し保持を開始する。再送(Replay)・監査・障害復旧・差分比較に必要な期間のデータを確実に残すために管理する
Archive管理	Archiveファイル保持状態	保持中	保持期間超過のArchiveを削除する	削除済	設定された保持期間(retention)を超過した Archive ファイルを安全に削除する。無限に溜めず長期運用でのディスク枯渇を防ぐ
Archive管理	Archiveファイル保持状態	削除済	""	""	保持期間超過分の削除が完了した終了状態となる
配信構成管理	元ファイル収集状態	""	""	書き込み中	Producer が収集ソース領域(FTP/SFTP/SCP サーバまたはローカルディレクトリ)へファイルの出力を開始する。途中状態ファイル排除の原則により、この状態のファイルは収集対象としない(Producer 側の出力でありシステムの UC は遷移させない)
配信構成管理	元ファイル収集状態	書き込み中	ファイルを収集する(Collect)	収集可能	安定待ち・除外パターンの判定により書き込み完了を確認し、収集対象となる。Archive に途中状態のファイルを残さないために必要な状態管理
配信構成管理	元ファイル収集状態	収集可能	ファイルを収集する(Collect)	回収済	既定の回収方式(GET 後 DELETE)で収集し、元ファイルを収集ソースから削除する
配信構成管理	元ファイル収集状態	収集可能	ファイルを収集する(Collect)	残置済	Topic 設定で「残す(copy)」を選択した場合、元ファイルを収集ソースに残したまま収集し、処理済み管理に記録して同じファイルの重複収集を防ぐ
配信構成管理	元ファイル収集状態	回収済	""	""	元ファイルが回収され収集ソース上に存在しない終了状態となる
配信構成管理	元ファイル収集状態	残置済	""	""	元ファイルは残るが処理済み管理により再収集されない終了状態となる
基盤運用管理	Lock状態	""	デーモンを起動する	取得済	デーモン起動時に Lock を取得し、単一インスタンス前提の二重起動防止を実現する
基盤運用管理	Lock状態	取得済	デーモンをgraceful shutdownで停止する	解放済	graceful shutdown の完了時に Lock を解放し、次回起動が正常に行えるようにする
基盤運用管理	Lock状態	取得済	""	stale	デーモンの異常終了により解放されないまま Lock が残留した状態。プロセス生存確認等の安全な回復判定の対象となる(異常終了によるもので UC は遷移させない)
基盤運用管理	Lock状態	stale	デーモンを起動する	取得済	stale lock と判定された場合、再起動したインスタンスが安全に回復して Lock を再取得する
基盤運用管理	Lock状態	解放済	""	""	Lock が解放された終了状態となる
